alder,utdanning,erfaring,jobb,sted,fag,kolleger,lønn,bonus,fornøyd
26-30,5,0,"in-house, privat sektor",Møre og Romsdal,fullstack,50 - 100,500000,Nei,Nei
26-30,3,2,"in-house, privat sektor",Møre og Romsdal,fullstack,50 - 100,500000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,500000,Nei,Nei
26-30,3,3,konsulent,Oslo,UX / design,50 - 100,500000,Nei,Nei
31-35,0,0,"in-house, privat sektor",Oslo,UX / design,50 - 100,500000,Nei,Ja
26-30,3,1,"in-house, privat sektor",Oslo,frontend,500 - 1.000,500000,Nei,Ja
31-35,3,10,"in-house, privat sektor",Oslo,ingen av disse,500 - 1.000,500000,Nei,Nei
36-40,4,15,"in-house, offentlig/kommunal sektor",Oslo,testing,500 - 1.000,500000,Nei,Nei
41-45,5,0,"in-house, privat sektor",Oslo,data science,500 - 1.000,500000,Nei,Nei
21-25,2,2,"in-house, privat sektor",Møre og Romsdal,UX / design,under 10,500000,Nei,Ja
26-30,5,5,"in-house, privat sektor",Oslo,fullstack,under 10,500000,Nei,Ja
31-35,0,1,"in-house, privat sektor",Trøndelag,frontend,under 10,500000,Nei,Ja
31-35,0,13,"in-house, privat sektor",Oslo,fullstack,under 10,500000,Ja,Nei
31-35,2,1,"in-house, privat sektor",Vestfold og Telemark,fullstack,under 10,500000,Nei,Nei
31-35,6,2,"in-house, offentlig/kommunal sektor",Oslo,ingen av disse,under 10,500000,Nei,Nei
31-35,1,1,"in-house, privat sektor",Agder,ingen av disse,under 10,500000,Nei,Nei
41-45,3,20,"in-house, privat sektor",utlandet,ledelse/administrativt,under 10,500000,Nei,Nei
46-50,3,20,"in-house, privat sektor",Vestland,fullstack,under 10,500000,Nei,Ja
31-35,0,5,"in-house, privat sektor",Vestfold og Telemark,fullstack,over 10.000,500640,Nei,Nei
21-25,4,1,"in-house, privat sektor",Trøndelag,backend,100 - 500,502000,Nei,Ja
26-30,7,3,konsulent,Oslo,devops,1.000 - 10.000,503500,Ja,Nei
21-25,3,3,konsulent,Rogaland,fullstack,under 10,504000,Nei,Ja
21-25,3,0,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,fullstack,1.000 - 10.000,510000,Nei,Nei
36-40,4,15,konsulent,Viken,ingen av disse,1.000 - 10.000,510000,Nei,Nei
21-25,0,3,"in-house, privat sektor",Oslo,programvare,10 - 50,510000,Nei,Nei
31-35,2,1,"in-house, privat sektor",Trøndelag,frontend,10 - 50,510000,Nei,Nei
41-45,2,2,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,automatisering,10 - 50,510000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Vestland,fullstack,10 - 50,515000,Nei,Nei
26-30,3,0,"in-house, privat sektor",Agder,backend,100 - 500,515000,Nei,Ja
21-25,0,0,"in-house, privat sektor",Oslo,ingen av disse,50 - 100,516000,Nei,Nei
26-30,3,1,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,516100,Nei,Nei
21-25,3,0,konsulent,Oslo,backend,1.000 - 10.000,520000,Ja,Nei
21-25,5,3,konsulent,Oslo,devops,1.000 - 10.000,520000,Ja,Nei
21-25,0,2,konsulent,Vestland,fullstack,10 - 50,520000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Nordland,fullstack,10 - 50,520000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Oslo,ingen av disse,10 - 50,520000,Nei,Nei
26-30,4,6,"in-house, offentlig/kommunal sektor",Oslo,ingen av disse,10 - 50,520000,Nei,Nei
31-35,0,0,"in-house, privat sektor",Vestland,fullstack,10 - 50,520000,Nei,Nei
36-40,3,1,"in-house, privat sektor",Vestland,fullstack,10 - 50,520000,Nei,Ja
31-35,0,1,konsulent,Oslo,backend,100 - 500,520000,Nei,Nei
31-35,3,7,"in-house, privat sektor",Møre og Romsdal,frontend,100 - 500,520000,Nei,Nei
36-40,0,4,"in-house, offentlig/kommunal sektor",Trøndelag,ingen av disse,100 - 500,520000,Nei,Nei
36-40,0,5,"in-house, privat sektor",Rogaland,automatisering,100 - 500,522000,Nei,Nei
21-25,0,2,konsulent,Oslo,frontend,10 - 50,525000,Nei,Nei
26-30,0,0,"in-house, privat sektor",Oslo,frontend,10 - 50,525000,Nei,Nei
26-30,0,0,konsulent,Vestland,fullstack,10 - 50,525000,Ja,Nei
26-30,0,1,konsulent,Vestland,fullstack,10 - 50,525000,Ja,Nei
26-30,0,3,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,525000,Ja,Nei
36-40,2,20,frilans / selvstendig næringsdrivende,Rogaland,ingen av disse,under 10,525000,Nei,Ja
36-40,3,3,"in-house, offentlig/kommunal sektor",Innlandet,backend,500 - 1.000,526000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Viken,fullstack,50 - 100,526500,Nei,Nei
26-30,3,0,konsulent,Oslo,programvare,1.000 - 10.000,530000,Nei,Nei
26-30,3,0,konsulent,Oslo,programvare,1.000 - 10.000,530000,Nei,Nei
31-35,3,8,"in-house, offentlig/kommunal sektor",Møre og Romsdal,ingen av disse,1.000 - 10.000,530000,Nei,Nei
21-25,3,5,konsulent,Oslo,fullstack,10 - 50,530000,Nei,Nei
21-25,3,0,"in-house, privat sektor",Vestland,fullstack,10 - 50,530000,Nei,Nei
21-25,4,0,konsulent,Trøndelag,fullstack,10 - 50,530000,Nei,Ja
21-25,3,0,konsulent,Viken,backend,100 - 500,530000,Nei,Nei
26-30,3,3,"in-house, privat sektor",Innlandet,fullstack,100 - 500,530000,Nei,Nei
21-25,2,0,"in-house, privat sektor",Møre og Romsdal,programvare,50 - 100,530000,Nei,Nei
26-30,3,0,"in-house, privat sektor",Oslo,backend,50 - 100,530000,Nei,Ja
26-30,3,1,"in-house, privat sektor",Møre og Romsdal,fullstack,50 - 100,530000,Nei,Ja
26-30,3,0,konsulent,Oslo,backend,over 10.000,530000,Nei,Ja
26-30,0,2,"in-house, privat sektor",Oslo,ledelse/administrativt,over 10.000,530000,Nei,Nei
21-25,3,3,"in-house, privat sektor",Oslo,fullstack,under 10,530000,Ja,Nei
31-35,0,1,"in-house, privat sektor",Trøndelag,frontend,under 10,530000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Oslo,sikkerhet,1.000 - 10.000,540000,Nei,Ja
26-30,5,0,konsulent,Rogaland,fullstack,10 - 50,540000,Nei,Ja
31-35,1,5,"in-house, privat sektor",Agder,fullstack,10 - 50,540000,Nei,Ja
31-35,1,0,konsulent,Oslo,sikkerhet,10 - 50,540000,Nei,Nei
36-40,2,3,konsulent,Rogaland,frontend,10 - 50,540000,Nei,Nei
36-40,1,3,"in-house, privat sektor",Nordland,fullstack,10 - 50,540000,Nei,Nei
26-30,2,4,"in-house, privat sektor",Oslo,frontend,100 - 500,540000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Trøndelag,backend,500 - 1.000,540000,Nei,Ja
31-35,3,2,"in-house, privat sektor",Møre og Romsdal,fullstack,500 - 1.000,540000,Ja,Nei
26-30,3,4,"in-house, privat sektor",Møre og Romsdal,frontend,under 10,540000,Nei,Nei
36-40,3,9,"in-house, privat sektor",Nordland,frontend,under 10,540000,Nei,Ja
31-35,3,1,"in-house, offentlig/kommunal sektor",Oslo,backend,over 10.000,544400,Nei,Ja
36-40,2,17,"in-house, offentlig/kommunal sektor",Trøndelag,ledelse/administrativt,1.000 - 10.000,545000,Nei,Nei
26-30,2,1,"in-house, offentlig/kommunal sektor",Vestland,frontend,10 - 50,545000,Nei,Nei
26-30,3,1,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,547500,Nei,Ja
21-25,3,0,"in-house, privat sektor",Viken,arkitektur,1.000 - 10.000,550000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Vestland,backend,1.000 - 10.000,550000,Nei,Nei
21-25,3,0,konsulent,Oslo,frontend,1.000 - 10.000,550000,Ja,Ja
21-25,3,0,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,550000,Nei,Ja
26-30,3,15,"in-house, privat sektor",Viken,frontend,1.000 - 10.000,550000,Nei,Nei
26-30,2,0,konsulent,Oslo,frontend,1.000 - 10.000,550000,Ja,Nei
26-30,,1,"in-house, offentlig/kommunal sektor",Agder,ingen av disse,1.000 - 10.000,550000,Nei,Ja
31-35,0,4,"in-house, privat sektor",Oslo,devops,1.000 - 10.000,550000,Nei,Nei
46-50,9,19,"in-house, offentlig/kommunal sektor",Oslo,ingen av disse,1.000 - 10.000,550000,Nei,Nei
21-25,3,3,"in-house, privat sektor",Viken,frontend,10 - 50,550000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,550000,Nei,Nei
26-30,2,0,"in-house, privat sektor",Rogaland,frontend,10 - 50,550000,Nei,Ja
26-30,0,4,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,550000,Nei,Nei
26-30,7,7,"in-house, privat sektor",Møre og Romsdal,programvare,10 - 50,550000,Ja,Nei
31-35,3,4,"in-house, privat sektor",Vestfold og Telemark,backend,10 - 50,550000,Nei,Nei
31-35,3,1,konsulent,Trøndelag,frontend,10 - 50,550000,Nei,Nei
31-35,6,3,"in-house, offentlig/kommunal sektor",Oslo,ingen av disse,10 - 50,550000,Nei,Nei
36-40,1,5,"in-house, privat sektor",Agder,frontend,10 - 50,550000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Oslo,devops,100 - 500,550000,Ja,Nei
21-25,2,5,"in-house, privat sektor",Oslo,ingen av disse,100 - 500,550000,Nei,Ja
21-25,3,1,"in-house, offentlig/kommunal sektor",Trøndelag,ingen av disse,100 - 500,550000,Ja,Nei
26-30,3,0,konsulent,Oslo,backend,100 - 500,550000,Nei,Ja
26-30,5,1,"in-house, privat sektor",Vestfold og Telemark,backend,100 - 500,550000,Nei,Nei
26-30,3,0,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,550000,Ja,Ja
31-35,4,2,"in-house, privat sektor",Troms og Finnmark,automatisering,100 - 500,550000,Nei,Nei
31-35,3,0,konsulent,Oslo,frontend,100 - 500,550000,Nei,Nei
36-40,1,2,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,550000,Ja,Nei
36-40,,19,"in-house, privat sektor",Agder,ingen av disse,100 - 500,550000,Ja,Nei
36-40,3,0,"in-house, offentlig/kommunal sektor",Nordland,ingen av disse,100 - 500,550000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Oslo,fullstack,50 - 100,550000,Ja,Nei
21-25,3,1,konsulent,Vestland,frontend,500 - 1.000,550000,Nei,Nei
21-25,3,0,"in-house, privat sektor",Vestfold og Telemark,fullstack,500 - 1.000,550000,Nei,Ja
26-30,1,10,"in-house, privat sektor",Rogaland,automatisering,500 - 1.000,550000,Nei,Ja
21-25,5,1,konsulent,Vestland,backend,over 10.000,550000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Oslo,backend,over 10.000,550000,Nei,Nei
26-30,2,0,konsulent,Trøndelag,data science,over 10.000,550000,Ja,Nei
26-30,5,0,konsulent,Agder,fullstack,over 10.000,550000,Nei,Ja
31-35,3,1,"in-house, privat sektor",Oslo,fullstack,over 10.000,550000,Nei,Nei
21-25,0,4,"in-house, privat sektor",Trøndelag,backend,under 10,550000,Nei,Ja
21-25,5,1,"in-house, privat sektor",Agder,embedded/IOT/maskinvare,under 10,550000,Nei,Ja
21-25,0,4,"in-house, privat sektor",Rogaland,frontend,under 10,550000,Nei,Ja
21-25,3,4,konsulent,Innlandet,fullstack,under 10,550000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Nordland,fullstack,under 10,550000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Oslo,fullstack,under 10,550000,Nei,Ja
26-30,5,1,konsulent,Oslo,UX / design,under 10,550000,Nei,Ja
31-35,2,11,konsulent,Agder,fullstack,under 10,550000,Ja,Nei
21-25,3,1,konsulent,Oslo,fullstack,1.000 - 10.000,555000,Ja,Nei
21-25,3,0,konsulent,Oslo,fullstack,100 - 500,555000,Nei,Ja
26-30,3,0,konsulent,Oslo,fullstack,100 - 500,555000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Oslo,backend,50 - 100,555000,Nei,Ja
26-30,3,3,"in-house, offentlig/kommunal sektor",Troms og Finnmark,backend,100 - 500,557648,Nei,Ja
26-30,3,6,"in-house, privat sektor",Oslo,devops,1.000 - 10.000,559000,Nei,Nei
31-35,3,2,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,559000,Nei,Nei
26-30,3,1,konsulent,Viken,fullstack,1.000 - 10.000,560000,Ja,Ja
26-30,5,1,konsulent,Oslo,sikkerhet,1.000 - 10.000,560000,Nei,Ja
26-30,3,3,"in-house, offentlig/kommunal sektor",Vestland,sikkerhet,1.000 - 10.000,560000,Nei,Nei
41-45,5,17,"in-house, offentlig/kommunal sektor",Vestland,fullstack,1.000 - 10.000,560000,Nei,Nei
21-25,,1,"in-house, privat sektor",Rogaland,backend,10 - 50,560000,Nei,Nei
26-30,3,0,"in-house, offentlig/kommunal sektor",Oslo,fullstack,10 - 50,560000,Nei,Ja
31-35,3,0,"in-house, privat sektor",Oslo,data science,10 - 50,560000,Nei,Nei
36-40,,7,"in-house, privat sektor",Viken,data science,10 - 50,560000,Nei,Nei
36-40,3,3,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,560000,Nei,Ja
21-25,2,7,"in-house, privat sektor",Oslo,automatisering,100 - 500,560000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Agder,fullstack,100 - 500,560000,Nei,Nei
26-30,3,1,konsulent,Oslo,fullstack,100 - 500,560000,Nei,Nei
26-30,2,2,konsulent,Rogaland,programvare,100 - 500,560000,Ja,Ja
26-30,3,1,konsulent,Oslo,sikkerhet,100 - 500,560000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Viken,fullstack,500 - 1.000,560000,Nei,Nei
26-30,3,0,"in-house, privat sektor",Oslo,app,under 10,560000,Ja,Ja
26-30,2,8,"in-house, privat sektor",Trøndelag,frontend,under 10,560000,Nei,Nei
31-35,0,0,konsulent,Oslo,fullstack,1.000 - 10.000,564000,Nei,Ja
26-30,3,1,konsulent,Oslo,frontend,1.000 - 10.000,565000,Nei,Nei
41-45,,10,"in-house, privat sektor",Trøndelag,backend,100 - 500,565000,Nei,Nei
26-30,3,4,konsulent,Møre og Romsdal,fullstack,50 - 100,565000,Nei,Nei
21-25,3,1,konsulent,Oslo,ingen av disse,1.000 - 10.000,567000,Nei,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Nordland,fullstack,500 - 1.000,567000,Ja,Nei
31-35,4,5,"in-house, privat sektor",Troms og Finnmark,fullstack,under 10,567000,Ja,Ja
26-30,3,1,konsulent,Trøndelag,ingen av disse,1.000 - 10.000,568000,Nei,Nei
26-30,1,2,konsulent,Oslo,sikkerhet,1.000 - 10.000,569000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,570000,Nei,Nei
21-25,5,1,konsulent,Vestland,data science,1.000 - 10.000,570000,Nei,Ja
26-30,3,2,konsulent,Oslo,app,1.000 - 10.000,570000,Nei,Nei
21-25,4,0,konsulent,Trøndelag,fullstack,100 - 500,570000,Nei,Ja
26-30,2,0,"in-house, privat sektor",Oslo,frontend,100 - 500,570000,Nei,Ja
31-35,0,0,"in-house, offentlig/kommunal sektor",Nordland,frontend,100 - 500,570000,Nei,Nei
31-35,3,1,konsulent,Vestland,fullstack,100 - 500,570000,Nei,Nei
26-30,3,0,"in-house, privat sektor",Oslo,backend,50 - 100,570000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Rogaland,frontend,50 - 100,570000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Viken,fullstack,50 - 100,570000,Nei,Ja
26-30,3,1,konsulent,Rogaland,fullstack,50 - 100,570000,Nei,Nei
26-30,4,3,"in-house, privat sektor",Oslo,automatisering,over 10.000,570000,Ja,Nei
26-30,5,1,konsulent,Oslo,UX / design,over 10.000,570000,Ja,Nei
31-35,3,0,"in-house, privat sektor",Møre og Romsdal,embedded/IOT/maskinvare,over 10.000,570000,Nei,Nei
36-40,5,12,"in-house, offentlig/kommunal sektor",Oslo,data science,over 10.000,570000,Nei,Ja
41-45,5,15,konsulent,Nordland,ingen av disse,over 10.000,570000,Nei,Nei
41-45,3,1,"in-house, privat sektor",Troms og Finnmark,programvare,100 - 500,572000,Nei,Nei
26-30,3,2,"in-house, privat sektor",Oslo,fullstack,50 - 100,573000,Nei,Nei
21-25,0,3,"in-house, offentlig/kommunal sektor",Oslo,sikkerhet,500 - 1.000,573000,Nei,Nei
26-30,6,10,"in-house, privat sektor",Agder,frontend,100 - 500,574000,Nei,Nei
21-25,3,1,"in-house, offentlig/kommunal sektor",Oslo,automatisering,over 10.000,574500,Nei,Ja
21-25,3,1,konsulent,Trøndelag,automatisering,10 - 50,575000,Nei,Ja
21-25,3,0,konsulent,Innlandet,frontend,10 - 50,575000,Ja,Nei
21-25,3,1,"in-house, privat sektor",Oslo,app,100 - 500,575000,Nei,Ja
21-25,0,3,"in-house, privat sektor",Rogaland,fullstack,100 - 500,575000,Nei,Nei
36-40,3,2,konsulent,Oslo,frontend,100 - 500,575000,Nei,Nei
26-30,2,4,konsulent,Vestfold og Telemark,frontend,50 - 100,575000,Nei,Nei
21-25,3,0,konsulent,Oslo,frontend,500 - 1.000,575000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Oslo,UX / design,under 10,575000,Ja,Nei
21-25,3,1,"in-house, privat sektor",Rogaland,fullstack,500 - 1.000,575250,Nei,Ja
31-35,6,1,"in-house, privat sektor",Agder,frontend,100 - 500,576000,Ja,Ja
36-40,2,10,konsulent,Viken,ingen av disse,100 - 500,576000,Ja,Nei
21-25,3,0,"in-house, privat sektor",Viken,programvare,1.000 - 10.000,578000,Nei,Nei
41-45,3,25,"in-house, privat sektor",Viken,ingen av disse,1.000 - 10.000,578000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Viken,programvare,over 10.000,578000,Nei,Ja
26-30,3,1,konsulent,Oslo,backend,10 - 50,580000,Ja,Nei
41-45,1,3,"in-house, privat sektor",Rogaland,fullstack,10 - 50,580000,Ja,Nei
21-25,3,1,konsulent,Oslo,frontend,100 - 500,580000,Ja,Nei
21-25,3,1,konsulent,Oslo,fullstack,100 - 500,580000,Nei,Nei
26-30,3,1,konsulent,Vestland,fullstack,100 - 500,580000,Nei,Nei
31-35,5,19,"in-house, privat sektor",Trøndelag,ingen av disse,100 - 500,580000,Nei,Nei
